a.1.1.	[1, 27, 9, 128, 49]
a.24.3.	[7, 10]
a.24.4.	[4]
a.24.5.	[4]
a.24.7.	[2]
a.24.8.	[2]
a.24.9.	[1, 15]
a.240.1.	[2]
a.241.1.	[1]
a.242.1.	[1]
a.243.1.	[1, 1, 1]
a.244.1.	[1]
a.245.1.	[5]
a.246.1.	[2]
a.246.2.	[3]
a.246.3.	[1]
a.247.1.	[2]
a.248.1.	[1]
a.249.1.	[1]
a.25.1.	[1, 1, 1, 2, 1, 3, 2, 24, 56, 26]
a.25.2.	[9, 1, 4]
a.25.3.	[5, 6]
a.25.4.	[1, 1]
a.25.5.	[2]
a.25.6.	[1]
a.250.1.	[1, 4]
a.251.1.	[1]
a.252.1.	[1, 1]
a.253.1.	[1]
a.254.1.	[1]
a.255.1.	[1]
a.256.1.	[1]
a.257.1.	[2]
a.258.1.	[1]
a.259.1.	[1]
a.26.1.	[3, 18, 21, 18]
a.260.1.	[2]
a.261.1.	[2]
a.262.1.	[1]
a.263.1.	[1]
a.264.1.	[4]
a.265.1.	[3]
a.266.1.	[2, 2]
a.267.1.	[1]
a.268.1.	[3]
a.269.1.	[2]
a.27.1.	[11, 6]
a.270.1.	[1]
a.271.1.	[2]
a.272.1.	[1]
a.273.1.	[1]
a.274.1.	[3]
a.275.1.	[1]
a.276.1.	[1]
a.277.1.	[3]
a.278.1.	[1, 1, 1, 1]
a.279.1.	[1]
a.28.1.	[3, 1, 14, 16]
a.28.2.	[9]
a.28.3.	[3, 9, 2]
a.280.1.	[5, 3]
a.281.1.	[1, 3]
a.282.1.	[1]
a.283.1.	[3]
a.284.1.	[11]
a.285.1.	[2]
a.286.1.	[1]
a.287.1.	[1, 1]
a.288.1.	[3]
a.289.1.	[1, 1]
a.29.10.	[2]
a.29.11.	[1]
a.29.12.	[1]
a.29.13.	[4]
a.29.14.	[2]
a.29.15.	[1]
a.29.16.	[2]
a.29.17.	[1]
a.29.2.	[45, 7]
a.29.3.	[12, 25, 4]
a.29.5.	[2, 3]
a.29.6.	[1, 2]
a.29.7.	[2]
a.29.8.	[2, 1]
a.29.9.	[1]
a.290.1.	[1]
a.291.1.	[1]
a.292.1.	[3]
a.293.1.	[2, 2]
a.294.1.	[1]
a.295.1.	[1]
a.296.1.	[1]
a.297.1.	[1]
a.298.1.	[5]
a.3.1.	[2, 4, 8, 6, 7, 4, 24, 60, 2]
a.30.1.	[8]
a.30.2.	[2, 3]
a.30.3.	[1]
a.30.4.	[1]
a.30.5.	[1]
a.30.6.	[1]
a.30.7.	[3]
a.30.8.	[1]
a.31.1.	[1, 5]
a.32.1.	[4]
a.33.1.	[2]
a.34.1.	[2]
a.34.2.	[5]
a.34.3.	[1]
a.34.4.	[1]
a.35.1.	[1, 2, 1, 1, 1, 8, 2, 7, 6, 3, 16, 9, 1, 1]
a.36.1.	[5]
a.37.1.	[2]
a.38.1.	[12]
a.38.2.	[1]
a.39.1.	[2, 3, 39, 4, 25, 1, 13, 80, 5, 10, 11, 1]
a.39.2.	[7, 7]
a.39.3.	[2]
a.39.4.	[1]
a.4.1.	[74, 36, 21, 8, 6, 4, 5, 2, 36, 4, 1, 1, 1, 1, 6, 1, 1, 1, 1, 4]
a.4.10.	[3]
a.4.11.	[2]
a.4.12.	[1, 2, 2, 1]
a.4.13.	[1, 2, 2, 9]
a.4.14.	[2]
a.4.15.	[1]
a.4.2.	[1, 3]
a.4.3.	[8, 3]
a.4.5.	[1, 2, 1, 1, 8, 1, 1, 1, 1, 2, 1, 1, 6, 5, 6, 4, 1, 11, 2, 1, 1, 3, 6, 1, 2, 1, 5, 4, 1, 4, 1, 2, 2, 1, 2, 1, 6, 2, 1, 1, 1, 1, 5, 10, 2, 4, 2, 67, 4, 1, 1, 3, 1, 1, 3, 2, 1, 1, 1, 1, 3, 1, 2, 3, 2, 3, 2, 15, 3, 3, 4, 2, 1, 1, 25, 6, 1, 1, 2, 1, 2, 1, 1, 1, 5]
a.4.6.	[5, 2, 23, 6]
a.4.7.	[6]
a.4.8.	[4]
a.4.9.	[2]
a.40.1.	[27, 22]
a.40.2.	[1]
a.40.3.	[1]
a.41.1.	[2, 3]
a.42.1.	[1, 10]
a.43.1.	[1, 1, 1, 1, 1, 1, 1, 1, 6, 3, 8, 4]
a.45.1.	[62, 60, 1]
a.46.1.	[1]
a.46.2.	[6, 1]
a.46.3.	[1]
a.47.1.	[3]
a.47.2.	[9]
a.47.3.	[1]
a.47.4.	[1, 2]
a.47.5.	[1]
a.47.6.	[1]
a.48.1.	[2, 1]
a.48.2.	[2]
a.48.3.	[2]
a.48.4.	[5]
a.48.5.	[1]
a.49.1.	[1]
a.5.1.	[3]
a.5.10.	[1]
a.5.2.	[6, 3, 4, 34, 3]
a.5.3.	[4, 4]
a.5.4.	[1]
a.5.6.	[2]
a.5.7.	[1, 2, 2]
a.5.8.	[2, 1]
a.5.9.	[1]
a.50.1.	[6]
a.51.1.	[1]
a.52.1.	[9, 2, 3, 3]
a.53.1.	[3, 4]
a.54.1.	[1]
a.55.1.	[2, 5, 9]
a.56.1.	[8, 1]
a.57.1.	[1]
a.58.1.	[1]
a.59.1.	[4]
a.6.1.	[4, 1, 2, 2, 4, 1, 1, 4]
a.60.1.	[22, 3, 26, 8]
a.60.10.	[1]
a.60.11.	[1, 1]
a.60.12.	[2, 4, 1]
a.60.13.	[2]
a.60.14.	[2, 1]
a.60.15.	[2]
a.60.16.	[2]
a.60.2.	[3, 1, 1, 6, 4, 2, 2]
a.60.3.	[6]
a.60.4.	[1, 2, 6, 1]
a.60.5.	[1]
a.60.6.	[5, 3]
a.60.7.	[2, 8]
a.60.8.	[2, 3, 3, 1, 2]
a.60.9.	[3]
a.61.1.	[2, 1, 1, 1, 1, 6]
a.62.1.	[2]
a.63.1.	[2]
a.64.1.	[1, 1, 1, 4, 1]
a.64.2.	[1]
a.65.1.	[19, 2]
a.66.1.	[6]
a.68.1.	[1]
a.69.1.	[6, 6]
a.69.2.	[2]
a.69.3.	[2]
a.69.4.	[3]
a.7.1.	[1, 11]
a.7.10.	[1]
a.7.11.	[2]
a.7.12.	[4, 1]
a.7.13.	[2]
a.7.14.	[3, 3]
a.7.15.	[2]
a.7.16.	[1]
a.7.17.	[2]
a.7.2.	[1, 3]
a.7.3.	[6]
a.7.4.	[2]
a.7.5.	[2]
a.7.6.	[2]
a.7.7.	[6]
a.7.8.	[1, 6, 2]
a.70.1.	[1]
a.70.2.	[1, 1]
a.71.1.	[2]
a.71.2.	[2]
a.72.1.	[1]
a.73.1.	[2, 14]
a.74.1.	[20, 2, 3, 4]
a.75.1.	[4]
a.76.1.	[5]
a.77.1.	[11, 5, 4, 2, 3]
a.78.1.	[2]
a.79.1.	[3, 1, 1]
a.8.1.	[17, 1, 5]
a.8.10.	[2]
a.8.11.	[3]
a.8.2.	[1]
a.8.3.	[1, 1, 2, 1]
a.8.4.	[1, 5]
a.8.5.	[4]
a.8.6.	[2]
a.8.7.	[1]
a.8.8.	[1]
a.8.9.	[2, 1]
a.80.1.	[10, 4]
a.81.1.	[2]
a.83.1.	[8, 9]
a.84.1.	[1]
a.85.1.	[2]
a.86.1.	[2, 1, 1, 4]
a.87.1.	[10, 2]
a.88.1.	[1]
a.89.1.	[6, 2]
a.9.1.	[6, 5]
a.90.1.	[1]
a.91.1.	[19, 13]
a.92.1.	[1]
a.93.1.	[12, 18, 3, 5]
a.94.1.	[1]
a.95.1.	[2]
a.96.1.	[2, 1, 2, 4, 1, 2, 2]
a.97.1.	[5, 1, 1]
a.98.1.	[2]
a.99.1.	[1, 7]
b.1.1.	[11, 161, 810, 639, 89]
b.1.10.	[1, 3, 5, 2]
b.1.11.	[5, 3, 6]
b.1.12.	[1, 1]
b.1.13.	[4, 2]
b.1.14.	[1, 6]
b.1.15.	[1, 4]
b.1.16.	[3, 4]
b.1.17.	[2]
b.1.18.	[1, 1, 5, 1, 43, 13, 26, 2, 9, 1, 2, 3, 8, 4, 1, 1, 30, 5, 5, 2, 4, 3, 1, 1]
b.1.19.	[1]
b.1.2.	[39, 118]
b.1.20.	[2]
b.1.21.	[3]
b.1.22.	[4]
b.1.23.	[4]
b.1.24.	[2]
b.1.25.	[1]
b.1.26.	[2, 1]
b.1.27.	[3, 4]
b.1.28.	[3, 7]
b.1.29.	[2, 2, 2, 2, 5, 2, 3, 2]
b.1.3.	[3]
b.1.30.	[4, 2]
b.1.31.	[2]
b.1.4.	[1, 11]
b.1.5.	[8]
b.1.6.	[14, 14, 1]
b.1.7.	[8]
b.1.8.	[4, 29]
b.1.9.	[1, 1, 1]
b.100.1.	[4]
b.101.1.	[1]
b.102.1.	[1]
b.103.1.	[5]
b.104.1.	[4]
b.105.1.	[2, 2, 1]
b.106.1.	[1, 2, 10]
b.107.1.	[3]
b.108.1.	[1, 2, 1, 4, 1]
b.109.1.	[5]
b.11.1.	[1, 1, 1, 1, 1, 23, 19]
b.110.1.	[2]
b.111.1.	[2]
b.112.1.	[2]
b.113.1.	[6]
b.114.1.	[1]
b.115.1.	[2, 3]
b.116.1.	[1]
b.117.1.	[2]
b.118.1.	[3]
b.119.1.	[1]
b.12.1.	[8, 2, 5, 2]
b.120.1.	[1]
b.121.1.	[2, 2]
b.121.2.	[2, 1, 2, 3]
b.121.3.	[1, 4]
b.121.4.	[1, 2, 14, 5, 6, 6, 1, 10, 71, 11]
b.121.5.	[10, 1, 7]
b.121.6.	[7, 6]
b.121.7.	[3]
b.122.1.	[1, 2, 1, 4, 1, 1, 1, 3, 10, 5, 5, 3, 3, 7]
b.123.1.	[2, 1]
b.124.1.	[3, 4]
b.125.1.	[1, 1, 3, 2]
b.126.1.	[1]
b.127.1.	[1]
b.128.1.	[1]
b.129.1.	[1, 3, 2]
b.129.2.	[1, 2]
b.130.1.	[7]
b.131.1.	[1, 1, 1]
b.132.1.	[2, 1]
b.133.1.	[1, 1]
b.134.1.	[2]
b.135.1.	[1]
b.136.1.	[1, 1, 4]
b.137.1.	[1, 5]
b.138.1.	[1, 2]
b.139.1.	[2]
b.14.1.	[3]
b.140.1.	[2, 1]
b.141.1.	[2, 1]
b.142.1.	[2, 1]
b.143.1.	[2]
b.144.1.	[1]
b.145.1.	[2, 2]
b.146.1.	[1]
b.147.1.	[1]
b.148.1.	[3]
b.149.1.	[2, 1]
b.15.1.	[2, 1, 4, 6, 3]
b.150.1.	[1]
b.151.1.	[4]
b.152.1.	[1]
b.153.1.	[1, 1]
b.154.1.	[1]
b.155.1.	[3]
b.156.1.	[1]
b.157.1.	[1, 3]
b.158.1.	[1]
b.159.1.	[3, 1]
b.159.2.	[2]
b.16.1.	[5]
b.160.1.	[2]
b.161.1.	[1]
b.162.1.	[1]
b.163.1.	[1, 1]
b.164.1.	[1]
b.165.1.	[1]
b.166.1.	[1]
b.167.1.	[2, 3]
b.168.1.	[1]
b.169.1.	[4]
b.17.1.	[7, 3, 2]
b.170.1.	[2]
b.171.1.	[3, 2]
b.172.1.	[1, 3]
b.173.1.	[1]
b.174.1.	[1]
b.175.1.	[1]
b.176.1.	[1]
b.177.1.	[1]
b.178.1.	[1]
b.179.1.	[3, 3]
b.18.1.	[2, 2, 1, 1, 3, 1, 2, 2, 1, 1, 3, 1, 8, 5, 9, 5, 27, 2, 2, 2, 6, 1, 1, 1, 5, 1, 1, 3, 2, 1, 1, 2, 1, 1]
b.180.1.	[1]
b.19.1.	[1, 32, 4, 5]
b.2.1.	[1]
b.2.10.	[1]
b.2.2.	[1, 14, 3, 11]
b.2.3.	[11, 1, 3, 1, 2, 4, 2]
b.2.5.	[3, 3, 2, 2, 6, 10, 1]
b.2.6.	[5]
b.2.7.	[2, 1]
b.2.8.	[3]
b.2.9.	[1]
b.20.1.	[2]
b.21.1.	[1, 1, 5, 9]
b.22.1.	[25, 9]
b.23.1.	[3, 9]
b.23.3.	[2, 1]
b.23.4.	[2]
b.24.1.	[5, 1]
b.25.1.	[2, 10]
b.26.1.	[2, 5, 7, 1, 17]
b.27.1.	[3]
b.28.1.	[1]
b.29.1.	[3, 2, 10, 28, 1, 4, 2, 2, 1, 1, 1, 2, 4, 6, 1, 1, 15, 14, 44, 34, 4, 1, 17, 2, 2, 1]
b.3.1.	[8, 3, 6]
b.3.2.	[1, 2]
b.3.3.	[1]
b.3.4.	[6, 6]
b.3.5.	[3]
b.3.6.	[2, 6]
b.3.7.	[1]
b.30.2.	[5]
b.30.5.	[3, 2, 5, 2, 4, 2, 2, 1, 1, 1, 1, 2]
b.30.6.	[1]
b.31.1.	[4, 1]
b.32.1.	[1]
b.33.1.	[3, 7, 13, 11]
b.34.1.	[3, 8, 2]
b.34.10.	[21, 1]
b.34.11.	[1, 3, 2, 1, 1]
b.34.12.	[5, 1]
b.34.13.	[30, 4, 9, 6]
b.34.14.	[6]
b.34.15.	[1]
b.34.16.	[1]
b.34.17.	[1]
b.34.18.	[1]
b.34.19.	[2]
b.34.2.	[101, 106]
b.34.20.	[1]
b.34.21.	[1]
b.34.3.	[1, 6]
b.34.4.	[1, 2, 1, 4, 4]
b.34.5.	[3, 1, 3, 1, 5, 5, 6, 5]
b.34.6.	[1, 6, 2]
b.34.7.	[1, 3]
b.34.8.	[1, 1]
b.34.9.	[14, 13, 8, 9, 2]
b.35.1.	[5, 1, 31]
b.35.2.	[2]
b.36.1.	[2, 2, 70, 113, 1, 5, 2]
b.37.1.	[4, 5]
b.38.1.	[1, 2, 8, 20, 17, 7, 1]
b.38.2.	[1]
b.38.3.	[2]
b.38.4.	[2]
b.38.5.	[1]
b.39.1.	[5]
b.4.1.	[4, 4]
b.40.1.	[11]
b.40.10.	[1]
b.40.11.	[1]
b.40.12.	[1]
b.40.13.	[2]
b.40.14.	[4]
b.40.15.	[6]
b.40.16.	[6, 4]
b.40.2.	[18, 7, 14]
b.40.3.	[3, 1, 5, 1]
b.40.4.	[3, 9, 3, 34, 8, 69, 6, 5, 1, 1, 1, 1, 1, 1, 29, 3, 1]
b.40.5.	[9, 9]
b.40.6.	[4, 7, 2, 2]
b.40.7.	[2, 2]
b.40.8.	[2]
b.40.9.	[2]
b.41.1.	[2, 3, 1, 1, 1]
b.42.1.	[12, 22, 3]
b.42.2.	[10, 34, 1, 1]
b.42.3.	[2]
b.42.4.	[3, 11, 8]
b.42.5.	[1, 4]
b.42.6.	[1, 2, 5]
b.42.7.	[1, 1]
b.42.8.	[1]
b.43.2.	[1, 3]
b.43.3.	[8, 19, 4, 1, 1, 1, 1]
b.43.4.	[4, 19, 4, 17]
b.43.5.	[2, 3, 3]
b.44.1.	[10, 4]
b.44.2.	[6]
b.45.1.	[3, 16, 22, 5, 1]
b.45.2.	[1, 2]
b.45.3.	[1]
b.46.1.	[1, 5, 4]
b.47.1.	[14, 88, 19, 33, 20]
b.48.1.	[1]
b.49.1.	[6, 7]
b.49.2.	[8, 3]
b.49.3.	[7]
b.5.1.	[1]
b.50.1.	[35, 1, 8, 42]
b.51.1.	[4]
b.52.1.	[2, 3, 2, 1, 4]
b.52.2.	[6, 11, 2, 4]
b.53.1.	[3, 1]
b.54.1.	[1]
b.55.1.	[4, 3, 1, 1, 1, 2, 9, 10, 5, 18, 55, 24, 2, 1]
b.55.2.	[1]
b.56.1.	[5]
b.57.1.	[6]
b.58.1.	[2, 6]
b.59.1.	[1]
b.6.1.	[3, 3, 1, 1, 42, 38, 6, 38]
b.6.2.	[2]
b.60.1.	[2, 2, 1, 4, 1, 2, 1, 40, 49, 20]
b.61.1.	[8, 14]
b.61.2.	[2, 2]
b.61.3.	[2]
b.61.4.	[2]
b.61.5.	[1, 1]
b.61.6.	[2, 1]
b.61.7.	[3]
b.61.8.	[1]
b.62.1.	[1, 41, 5, 1, 1]
b.63.1.	[3]
b.64.1.	[10]
b.65.1.	[3]
b.66.1.	[6, 3]
b.67.1.	[1]
b.67.2.	[1, 1, 2, 2, 7, 1]
b.67.3.	[1]
b.68.1.	[1, 19, 11]
b.68.10.	[2, 2]
b.68.11.	[1, 3]
b.68.2.	[1]
b.68.3.	[2]
b.68.4.	[2]
b.68.5.	[2]
b.68.6.	[4, 1, 1]
b.68.7.	[1]
b.68.8.	[1, 1]
b.68.9.	[2]
b.69.1.	[1]
b.69.10.	[1]
b.69.11.	[1]
b.69.12.	[3]
b.69.13.	[2, 2]
b.69.14.	[2]
b.69.2.	[2, 1, 1, 2]
b.69.3.	[4]
b.69.4.	[3, 1, 14, 7]
b.69.5.	[1, 1]
b.69.6.	[1]
b.69.7.	[3, 1, 1]
b.69.8.	[2, 1]
b.69.9.	[1]
b.7.1.	[14, 16, 16]
b.7.2.	[2, 4]
b.7.3.	[2, 3]
b.7.4.	[1]
b.7.5.	[1]
b.70.1.	[2, 8]
b.70.2.	[2]
b.70.3.	[4]
b.71.1.	[44, 23, 6, 1, 1]
b.72.1.	[9, 39]
b.72.2.	[3]
b.72.3.	[1]
b.73.1.	[1]
b.74.1.	[9, 13]
b.75.1.	[3]
b.76.1.	[6]
b.76.2.	[4]
b.77.1.	[1]
b.77.2.	[2, 5]
b.77.3.	[7, 3]
b.78.1.	[8, 12]
b.8.1.	[2, 2, 4]
b.80.1.	[1, 1, 3, 1, 2, 1, 6, 5, 8, 2, 1, 1]
b.80.2.	[1]
b.80.3.	[1]
b.80.4.	[2]
b.80.5.	[2, 1]
b.80.6.	[1]
b.80.7.	[4, 1]
b.80.8.	[1, 5]
b.81.1.	[1, 6, 4, 4, 1, 23, 2, 5, 7]
b.81.2.	[2]
b.81.3.	[1]
b.81.4.	[1]
b.82.1.	[2, 2, 4, 2, 1, 3, 1, 2, 4, 1, 3, 2, 2, 1, 3, 13, 9, 22, 4, 1, 1, 1, 3, 2, 2]
b.82.2.	[2, 3, 2, 1, 5, 3, 2, 3, 7, 4, 1, 1, 1, 3, 1, 1]
b.82.3.	[1, 14, 1, 26]
b.82.4.	[1]
b.82.5.	[2, 5]
b.82.6.	[3]
b.82.7.	[1]
b.83.1.	[1, 1, 1]
b.84.1.	[19, 7]
b.84.2.	[5, 9, 8]
b.84.3.	[1, 5]
b.84.4.	[3, 5]
b.85.1.	[1, 10]
b.85.2.	[3]
b.85.3.	[3]
b.85.4.	[22, 15]
b.85.5.	[1]
b.85.6.	[4, 1]
b.85.7.	[2, 1, 4, 4]
b.86.1.	[6, 1, 2]
b.87.1.	[1, 1, 3]
b.88.1.	[1, 2, 1, 2, 4]
b.88.2.	[1, 5]
b.89.1.	[4, 4]
b.9.1.	[3]
b.90.1.	[1]
b.91.1.	[4, 1]
b.92.1.	[1, 3, 5, 3, 2, 1, 2, 3, 1, 9, 4, 1]
b.93.1.	[2]
b.94.1.	[1]
b.95.1.	[2]
b.96.1.	[6, 2]
b.97.1.	[3, 4]
b.98.1.	[4, 4]
c.1.1.	[12, 20]
c.1.10.	[1, 5, 5, 44, 58, 1, 2, 3, 11]
c.1.11.	[30, 65, 13]
c.1.12.	[1, 4, 5, 10, 2, 3, 4, 9]
c.1.13.	[3]
c.1.14.	[14, 5]
c.1.15.	[2, 10, 3, 3, 1, 1, 3, 1]
c.1.16.	[2, 2, 5, 3, 2]
c.1.17.	[8, 6, 4]
c.1.18.	[4, 2, 2, 9]
c.1.19.	[1, 1, 2, 2]
c.1.2.	[11, 27, 15, 5, 2, 23, 5]
c.1.20.	[3]
c.1.21.	[3, 5, 2]
c.1.22.	[5, 5, 2]
c.1.23.	[2, 1]
c.1.24.	[2, 2]
c.1.25.	[1]
c.1.26.	[4]
c.1.27.	[2]
c.1.28.	[1, 1, 1]
c.1.29.	[1]
c.1.3.	[1, 2]
c.1.30.	[1, 1]
c.1.31.	[2, 2]
c.1.32.	[2]
c.1.33.	[1]
c.1.4.	[33, 15]
c.1.5.	[8, 7]
c.1.6.	[9, 1]
c.1.7.	[26, 33]
c.1.8.	[1, 3, 65, 64, 65, 4, 6, 20, 22, 1, 1, 2, 1, 1, 4]
c.1.9.	[3, 1, 4, 1, 1, 6, 2, 5, 9, 1, 2, 1, 3, 4, 19, 6, 3, 4, 1]
c.10.1.	[6, 1, 2, 1]
c.10.2.	[1, 7, 1, 9, 1, 1, 19, 3, 1]
c.10.3.	[1]
c.100.1.	[3]
c.101.1.	[3, 4]
c.102.1.	[1]
c.103.1.	[5]
c.104.1.	[1, 2]
c.105.1.	[1]
c.106.1.	[5, 2]
c.107.1.	[1, 5, 1]
c.108.1.	[1, 2, 2, 1, 1, 1, 2, 1, 14, 1, 3, 2, 7, 1, 1, 3, 60, 4, 3, 2, 2, 1, 10, 2, 3, 2]
c.109.1.	[6, 4]
c.110.1.	[3, 3]
c.111.1.	[3, 1, 1]
c.112.1.	[1]
c.113.1.	[2]
c.114.1.	[3, 6, 1]
c.115.1.	[1]
c.116.1.	[1, 4, 4, 2, 2, 5, 12, 4, 1]
c.117.1.	[5]
c.118.1.	[1, 1]
c.119.1.	[2, 10, 2]
c.12.1.	[5]
c.120.1.	[8, 2, 7]
c.121.1.	[4, 7]
c.122.1.	[4, 3]
c.123.1.	[4, 2]
c.124.1.	[9, 4, 14, 4, 3, 1, 5, 5, 5]
c.125.1.	[1]
c.126.1.	[1]
c.127.1.	[1]
c.128.1.	[1]
